OrderID,OrderDate,CustomerName,Segment,City,State,Region,Category,SubCategory,Quantity,Sales,Discount,Profit
1,06-04-2023,William Parker,Corporate,Hicksland,Maine,South,Furniture,Bookcases,9,1717.74,0,157.5
2,20-09-2022,Mr. Howard Mitchell,Consumer,Sarahfort,Kansas,South,Furniture,Furnishings,6,1296.52,0.1,146.43
3,28-02-2022,Tracy Hayes,Consumer,East Sandra,Indiana,Central,Office Supplies,Pens,6,597.54,0.1,96.14
4,21-07-2021,Cassandra Owens,Home Office,Yangshire,Vermont,Central,Furniture,Tables,7,581.26,0.3,47.98
5,17-04-2024,Veronica Baker,Consumer,Port Jacobborough,Wisconsin,South,Furniture,Tables,1,1697.67,0,405.94
6,24-10-2021,Victoria Jacobs,Consumer,Lake Williamland,West Virginia,South,Technology,Phones,2,546.24,0,135.15
7,20-11-2020,Timothy Flowers,Consumer,Jenniferfurt,Kansas,East,Furniture,Furnishings,7,550.74,0,50.34
8,28-05-2025,Erica Aguilar,Consumer,Lake Calvin,North Carolina,South,Office Supplies,Paper,5,799.48,0,167.87
9,15-07-2025,James Lopez,Corporate,North Maria,Indiana,Central,Office Supplies,Binders,2,179.82,0.1,30.88
10,12-06-2024,Katherine James,Consumer,Melvinside,West Virginia,West,Furniture,Chairs,4,886.25,0.1,53.12
11,04-04-2025,Robert Johnson,Home Office,Maryton,Alaska,Central,Technology,Computers,4,479.41,0,62.5
12,22-05-2024,Christina Bryant,Consumer,Danielstad,Missouri,West,Office Supplies,Pens,7,446.83,0.1,67.42
13,18-01-2025,James Aguilar,Corporate,East Lisa,Georgia,South,Furniture,Chairs,4,182.42,0.1,43.15
14,18-04-2025,Sean Jones,Corporate,Petersonport,South Dakota,Central,Technology,Accessories,3,1409.86,0.3,286.31
15,06-07-2025,Daniel Hernandez,Home Office,East Sharon,California,East,Furniture,Furnishings,4,1088.32,0.2,107.57
16,08-05-2022,Julie Ramos,Corporate,Moralesmouth,Delaware,South,Furniture,Tables,5,1931.56,0.2,125.92
17,07-04-2024,Michael Ramirez,Corporate,Meltonshire,Texas,West,Office Supplies,Paper,8,1982.95,0,114.49
18,08-11-2020,Matthew Phillips,Home Office,New Breanna,Tennessee,Central,Furniture,Furnishings,9,229.31,0.2,52.83
19,15-09-2025,Leah Maxwell,Corporate,Lesliestad,Hawaii,West,Furniture,Chairs,7,1974.54,0.1,512.31
20,25-10-2023,Wendy Gonzalez,Corporate,Emilyview,Rhode Island,West,Technology,Phones,3,596.24,0.2,57.55
21,09-01-2025,Mary Smith,Consumer,East Joshuafort,Wisconsin,Central,Furniture,Furnishings,3,1351.24,0.3,279.91
22,15-02-2022,Chelsea Stewart,Consumer,Lorichester,Florida,West,Office Supplies,Paper,4,139.81,0.3,28.64
23,08-11-2022,Cathy Rice,Corporate,Molinaview,Kentucky,East,Technology,Accessories,6,234.84,0.3,45.91
24,27-10-2021,Shannon Nelson,Home Office,Cantrellhaven,Nevada,East,Furniture,Furnishings,5,170.24,0.2,37.24
25,16-08-2022,Richard Cunningham,Consumer,Jenniferland,New York,East,Furniture,Chairs,4,673.22,0.2,114.72
26,03-10-2023,Shane Stone DDS,Consumer,Allenhaven,Hawaii,West,Technology,Copiers,9,1478.34,0.2,174.27
27,10-03-2022,Stephanie Arias,Home Office,Johnsonborough,South Carolina,West,Technology,Accessories,10,1807.81,0.3,93.45
28,24-12-2022,Brianna Martinez,Consumer,New Sabrina,South Dakota,Central,Furniture,Chairs,8,1187.48,0.3,166.1
